Year,"Primary Enrollment (Female, % gross)","Primary Enrollment (Male, % gross)",GPI (Female/Male),GDP per Capita Growth (annual %),"School enrollment, primary (% net)","Mortality rate, under-5 (per 1,000 live births)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Prevalence of stunting, height for age (% of children under 5)","Fertility rate, total (births per woman)","School enrollment, secondary, female (% gross)"
2000,,,,2.87,40.17,166,870.00,57.40,6.65,11.78
2001,,,,5.07,43.94,157,856.00,,6.58,14.05
2002,,,,-1.53,46.06,149,826.00,,6.50,15.00
2003,,,,-5.07,46.78,141,797.00,,6.40,14.52
2004,,,,10.22,49.58,134,764.00,,6.30,15.91
2005,13.199,22.977,0.5744,8.55,60.39,127,754.00,50.00,6.19,18.12
2006,,,,7.63,65.01,120,729.00,,6.05,21.54
2007,,,,8.24,70.07,114,704.00,,5.89,24.62
2008,21.692,33.243,0.6525,7.63,75.78,108,678.00,,5.70,26.68
2009,21.703,30.089,0.7213,5.76,75.36,103,649.00,,5.49,27.99
2010,22.768,29.076,0.7831,9.4,73.35,98,619.00,,5.28,30.16
2011,,,,8.06,77.23,93,588.00,44.4,5.08,32.44
2012,22.57,26.623,0.8478,5.64,78.49,88,545.00,,4.89,34.52
2013,,,,7.62,..,84,494.00,,4.71,
2014,27.19,29.672,0.9164,7.34,85.10,80,444.00,40.4,4.61,
2015,28.446,29.373,0.9684,7.47,84.62,76,401,,4.53,33.32
2016,,,,6.51,,72,364.00,38.3,4.47,
2017,,,,6.62,,68,327.00,,4.40,
2018,,,,3.97,,65,297.00,,4.37,
2019,,,,5.49,,62,269.00,36.8,4.35,
2020,,,,3.22,,59,244.00,,4.27,
2021,,,,2.86,,57,250.00,,4.18,
2022,21.412,22.02,0.9724,2.6,,55,207.00,,4.08,
2023,21.144,21.728,0.9731,3.85,,53,195.00,,3.99,
